Method,Filename,Status,Encoding_Time_s,Image_Size,Output_Path
LSB,image_1,Success,0.092,"(300, 300)",C:\Users\faizn\OneDrive\Desktop\Projects\ITR\data\output\batches\batch_20260106_132153_943f810f\encoded\LSB\image_1_LSB.png
LSB,image_2,Success,0.089,"(300, 300)",C:\Users\faizn\OneDrive\Desktop\Projects\ITR\data\output\batches\batch_20260106_132153_943f810f\encoded\LSB\image_2_LSB.png
LSB,image_3,Success,0.082,"(300, 300)",C:\Users\faizn\OneDrive\Desktop\Projects\ITR\data\output\batches\batch_20260106_132153_943f810f\encoded\LSB\image_3_LSB.png
LSB,image_4,Success,0.08,"(300, 300)",C:\Users\faizn\OneDrive\Desktop\Projects\ITR\data\output\batches\batch_20260106_132153_943f810f\encoded\LSB\image_4_LSB.png
LSB,image_5,Success,0.078,"(300, 300)",C:\Users\faizn\OneDrive\Desktop\Projects\ITR\data\output\batches\batch_20260106_132153_943f810f\encoded\LSB\image_5_LSB.png
