Method,Filename,Status,Encoding_Time_s,Image_Size,Output_Path
DWT,image_1,Success,0.02,"(300, 300)",C:\Users\faizn\OneDrive\Desktop\Projects\ITR\data\output\batches\batch_20260107_102326_53e3f256\encoded\DWT\image_1_DWT.png
DWT,image_2,Success,0.01,"(300, 300)",C:\Users\faizn\OneDrive\Desktop\Projects\ITR\data\output\batches\batch_20260107_102326_53e3f256\encoded\DWT\image_2_DWT.png
DWT,image_3,Success,0.01,"(300, 300)",C:\Users\faizn\OneDrive\Desktop\Projects\ITR\data\output\batches\batch_20260107_102326_53e3f256\encoded\DWT\image_3_DWT.png
DWT,image_4,Success,0.012,"(300, 300)",C:\Users\faizn\OneDrive\Desktop\Projects\ITR\data\output\batches\batch_20260107_102326_53e3f256\encoded\DWT\image_4_DWT.png
DWT,image_5,Success,0.0,"(300, 300)",C:\Users\faizn\OneDrive\Desktop\Projects\ITR\data\output\batches\batch_20260107_102326_53e3f256\encoded\DWT\image_5_DWT.png
