Method,Filename,Status,Encoding_Time_s,Image_Size,Output_Path
LSB,image_1,Success,0.083,"(300, 300)",C:\Users\faizn\OneDrive\Desktop\Projects\ITR\data\output\batches\batch_20260107_103851_0c8c37d4\encoded\LSB\image_1_LSB.png
LSB,image_2,Success,0.067,"(300, 300)",C:\Users\faizn\OneDrive\Desktop\Projects\ITR\data\output\batches\batch_20260107_103851_0c8c37d4\encoded\LSB\image_2_LSB.png
LSB,image_3,Success,0.06,"(300, 300)",C:\Users\faizn\OneDrive\Desktop\Projects\ITR\data\output\batches\batch_20260107_103851_0c8c37d4\encoded\LSB\image_3_LSB.png
LSB,image_4,Success,0.064,"(300, 300)",C:\Users\faizn\OneDrive\Desktop\Projects\ITR\data\output\batches\batch_20260107_103851_0c8c37d4\encoded\LSB\image_4_LSB.png
LSB,image_5,Success,0.068,"(300, 300)",C:\Users\faizn\OneDrive\Desktop\Projects\ITR\data\output\batches\batch_20260107_103851_0c8c37d4\encoded\LSB\image_5_LSB.png
