Method,Filename,Status,Encoding_Time_s,Image_Size,Output_Path
DWT,image_1,Success,0.017,"(300, 300)",C:\Users\faizn\OneDrive\Desktop\Projects\ITR\data\output\batches\batch_20260106_140926_375ee9e1\encoded\DWT\image_1_DWT.png
DWT,image_2,Success,0.024,"(300, 300)",C:\Users\faizn\OneDrive\Desktop\Projects\ITR\data\output\batches\batch_20260106_140926_375ee9e1\encoded\DWT\image_2_DWT.png
DWT,image_3,Success,0.017,"(300, 300)",C:\Users\faizn\OneDrive\Desktop\Projects\ITR\data\output\batches\batch_20260106_140926_375ee9e1\encoded\DWT\image_3_DWT.png
DWT,image_4,Success,0.03,"(300, 300)",C:\Users\faizn\OneDrive\Desktop\Projects\ITR\data\output\batches\batch_20260106_140926_375ee9e1\encoded\DWT\image_4_DWT.png
DWT,image_5,Success,0.018,"(300, 300)",C:\Users\faizn\OneDrive\Desktop\Projects\ITR\data\output\batches\batch_20260106_140926_375ee9e1\encoded\DWT\image_5_DWT.png
