Method,Filename,Status,Encoding_Time_s,Image_Size,Output_Path
DCT,image_1,Success,0.113,"(300, 300)",C:\Users\faizn\OneDrive\Desktop\Projects\ITR\data\output\batches\batch_20260107_112648_079667c3\encoded\DCT\image_1_DCT.png
DCT,image_2,Success,0.141,"(300, 300)",C:\Users\faizn\OneDrive\Desktop\Projects\ITR\data\output\batches\batch_20260107_112648_079667c3\encoded\DCT\image_2_DCT.png
DCT,image_3,Success,0.123,"(300, 300)",C:\Users\faizn\OneDrive\Desktop\Projects\ITR\data\output\batches\batch_20260107_112648_079667c3\encoded\DCT\image_3_DCT.png
DCT,image_4,Success,0.135,"(300, 300)",C:\Users\faizn\OneDrive\Desktop\Projects\ITR\data\output\batches\batch_20260107_112648_079667c3\encoded\DCT\image_4_DCT.png
DCT,image_5,Success,0.116,"(300, 300)",C:\Users\faizn\OneDrive\Desktop\Projects\ITR\data\output\batches\batch_20260107_112648_079667c3\encoded\DCT\image_5_DCT.png
