Method,Filename,Status,Encoding_Time_s,Image_Size,Output_Path
LSB,encoded_image (41) - Copy,Success,2.43,"(1600, 1502)",C:\Users\faizn\OneDrive\Desktop\Projects\ITR\data\output\encoded\LSB\encoded_image (41) - Copy_LSB.png
LSB,encoded_image (40),Success,17.627,"(4500, 4500)",C:\Users\faizn\OneDrive\Desktop\Projects\ITR\data\output\encoded\LSB\encoded_image (40)_LSB.png
LSB,encoded_image (38),Success,0.221,"(480, 480)",C:\Users\faizn\OneDrive\Desktop\Projects\ITR\data\output\encoded\LSB\encoded_image (38)_LSB.png
